City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,New Norfolk,AU,-42.78,147.06,57.99,61,100,5.01,light rain
84,Bonthe,SL,7.53,-12.51,79.59,82,17,4.32,few clouds
85,Mahina,PF,-17.51,-149.49,78.8,83,75,6.93,thunderstorm
86,Khatanga,RU,71.97,102.5,-4.36,90,100,0.96,overcast clouds
87,Bobon,PH,12.52,124.56,81.5,82,64,7.67,broken clouds
88,Christchurch,NZ,-43.53,172.63,57.2,76,100,11.41,overcast clouds
89,Fort Smith,US,35.39,-94.4,71.6,60,40,9.17,scattered clouds
90,Kemalpasa,TR,38.43,27.42,62.6,67,40,18.34,scattered clouds
91,Hermanus,ZA,-34.42,19.23,64.0,76,100,8.01,overcast clouds
92,Saint-Philippe,RE,-21.36,55.77,68.0,68,39,6.93,scattered clouds
93,Ribeira Grande,PT,38.52,-28.7,60.37,68,38,17.34,scattered clouds
94,Fortuna,US,40.6,-124.16,66.0,82,1,11.41,clear sky
95,Bluff,NZ,-46.6,168.33,51.04,59,2,8.28,clear sky
96,Pulandian,CN,39.4,121.97,59.0,72,0,8.95,light rain
97,Conde,BR,-7.26,-34.91,78.8,83,20,5.82,few clouds
98,Stokmarknes,NO,68.56,14.91,41.0,86,40,20.8,shower rain
99,Ambilobe,MG,-13.2,49.05,71.73,83,1,4.34,clear sky
100,Nuuk,GL,64.18,-51.72,21.2,67,20,9.17,shower rain
101,Maceio,BR,-9.67,-35.74,75.2,94,75,4.7,broken clouds
102,Alexandria,EG,31.22,29.96,71.6,56,40,16.11,scattered clouds
103,Muscle Shoals,US,34.74,-87.67,62.6,55,1,3.36,clear sky
104,Nantucket,US,41.28,-70.1,59.0,87,1,12.75,clear sky
105,Dzhebariki-Khaya,RU,62.22,135.8,-1.12,91,100,1.23,overcast clouds
106,Petrivka,UA,46.97,30.96,46.4,93,75,6.71,broken clouds
107,Thinadhoo,MV,0.53,72.93,83.25,68,37,4.85,scattered clouds
108,Birjand,IR,32.87,59.22,41.0,20,0,4.7,clear sky
109,Varciorog,RO,46.97,22.3,48.2,76,97,8.05,overcast clouds
